Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Dr. Shaitan,1960,-,-,-,-,hindi
Nadir Khan,1968,-,-,-,-,urdu
Apna Sapna Money Money,2006,134 min,5.3,"1,892","Comedy, Musical, Romance            ",hindi
Aag Aur Sholay,1987,-,2.2,20,-,urdu
Parivar,1956,-,7.4,21,"Comedy, Drama, Family            ",hindi
Humraah: The Traitor,2008,-,-,-,Thriller            ,hindi
Jacqueline I Am Coming,2019,112 min,7.9,16,Drama            ,hindi
A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",urdu
Midnight Mail,1939,-,-,-,Action            ,hindi
Raktalekha,1992,175 min,6.3,12,Drama            ,bengali
Veedevadandi Babu,1997,138 min,5.6,218,Comedy            ,telugu
A Mayalu Timi Lai,2018 Video,-,-,-,"Short, Music            ",nepali
Da Tang Xuan Zang,2016,90 min,6.2,379,"Biography, History            ",sanskrit
Sikandar,1976,-,-,-,-,hindi
Pehla Qadam,1958,-,-,-,-,urdu
Amman Koil Kizhakkaalae,1986,141 min,6.9,63,Drama            ,tamil
Shatru,2013,-,4.5,11,"Action, Thriller            ",kannada
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017 Video,5 min,-,-,"Short, Music            ",nepali
Zinda Jala Doonga,1988,-,-,-,Action            ,hindi
Tukaram,2012,156 min,7.3,231,"Biography, Drama, History            ",marathi
Ramante Edenthottam,2017,122 min,6,459,"Comedy, Drama, Romance            ",malayalam
Faslah,1974,-,-,-,"Crime, Drama, Romance            ",hindi
Jawani Ki Ghabrahat,1991,-,-,-,Thriller            ,hindi
Anbu Chinnam,1990,-,-,-,-,tamil
Naveed,2020,57 min,-,-,Documentary            ,urdu
Ramudu Bheemudu,1988,141 min,-,-,Drama            ,telugu
Vaade Kavali,2009,-,-,-,Romance            ,telugu
Aakhri Muqabla,1978,-,-,-,Action            ,hindi
Dracula,1999,92 min,4.1,16,Horror            ,hindi
Jahanara,1935,-,-,-,-,hindi
Geet,1970,-,7.1,98,"Action, Crime, Musical            ",hindi
Sej Piya Ki,1985,-,-,-,Drama            ,hindi
Sati Sita Luv Kush,1981,-,-,-,Drama            ,hindi
Nuvvu Vasthavani,2000,158 min,6.6,160,"Family, Romance            ",telugu
Jam,,-,-,-,Drama            ,bengali
Madadgaar,1987,-,5.4,11,"Action, Crime, Drama            ",hindi
Hamra Se Biyah Karba,2003,-,-,-,Drama            ,bhojpuri
